Parameter,Accuracy,Precision,Recall,F1-Score,Epoch
8,71.20921305182341,70.51932171752705,69.55666590936956,69.24747874109069,25
16,72.36084452975048,72.0264815369127,71.0418594707936,70.54221348009668,22
24,71.59309021113243,71.59503937489944,69.46798682771373,69.59536541465512,26
32,71.20921305182341,72.11811676899632,70.63375888768539,70.57131359225679,15
