Parameter,Accuracy,Precision,Recall,F1-Score,Epoch
0.0,71.78502879078695,70.65425419019444,69.52915429568961,69.67526013894334,20
0.2,71.97696737044146,71.97903799805124,71.16189223563141,70.62038778273411,13
0.3,72.36084452975048,72.0264815369127,71.0418594707936,70.54221348009668,22
0.5,72.36084452975048,72.03372921799435,71.28695751000929,70.5921307855566,22
0.7,72.16890595009598,70.71893750580813,70.18087599282285,69.36900678540407,19
1.0,71.97696737044146,71.64126754943013,70.84824498796344,70.39520510327651,22
