Parameter,Accuracy,Precision,Recall,F1-Score,Epoch
1,72.36084452975048,72.0264815369127,71.0418594707936,70.54221348009668,22
2,71.97696737044146,73.1933358172571,69.97493347941453,69.59672016526753,11
3,71.40115163147792,71.74770050865607,69.81095000245439,69.78730925234422,23
