Shots,Label,Accuracy,Precision,Recall,F1-Score,Epoch
0,Full Training,72.36084452975048,72.0264815369127,71.0418594707936,70.54221348009668,22
1,1-shot,34.548944337811896,42.72098514762035,35.97696110055665,32.72139293116292,5
5,5-shot,47.408829174664106,49.102957095374826,50.22025514768856,46.94862191371588,14
10,10-shot,57.38963531669866,56.19508129309276,57.64887111627106,55.46700602491057,19
20,20-shot,59.69289827255279,58.98798929070407,60.32775678114133,58.48947982072463,18
