epoch,train_loss,train_acc,test_acc,test_precision,test_recall,test_f1,learning_rate
1,2.5647116268382355,52.44527247321844,60.26871401151631,65.1831030948603,57.97244661044948,57.06225139360662,0.0009972609476841363
2,1.5904900045955883,69.07312529110386,67.37044145873321,67.44461074383226,64.33233856332056,64.93079130456364,0.0009890738003669034
3,1.282126034007353,72.24033535165347,63.72360844529751,67.85307773664002,62.40493425510949,61.22572919001969,0.0009755282581475779
4,1.1164263556985294,75.26781555659059,69.28982725527831,69.01258748650535,66.09188504463106,65.66435189330325,0.0009567727288213011
5,0.9979822495404411,77.36376339077783,68.52207293666027,70.01475763127173,63.69346367315865,63.72964486899343,0.0009330127018922199
6,0.9591854319852942,78.15556590591522,70.63339731285988,71.1772117994125,66.79969642614326,66.62577826905904,0.0009045084971874742
7,0.8850887522977942,79.59944108057755,69.48176583493282,72.5720426753179,67.52740139039625,67.82795758647444,0.0008715724127386972
8,0.8103386374080882,81.13646949231486,68.71401151631477,70.34607254979376,66.50196232870414,66.46928447744061,0.0008345653031794288
9,0.7856158088235294,82.11457848160224,69.09788867562379,69.57787816566102,67.28118613282125,67.3226936735598,0.0007938926261462362
10,0.7453326056985294,83.13926408942712,69.28982725527831,71.92568726530185,67.32834079705754,66.54288487544451,0.0007499999999999998
11,0.7104061351102942,84.7694457382394,70.24952015355086,70.52557588333302,68.81665869057545,68.33527494751178,0.0007033683215378998
12,0.6795187557444853,84.070796460177,70.44145873320538,71.01155413595028,70.06459837013833,69.48600885060961,0.0006545084971874735
13,0.6707871380974265,85.60782487191429,71.97696737044146,72.52256808767129,70.9148266150026,70.42073504982278,0.0006039558454088794
14,0.6105600244858685,86.81881695388914,69.48176583493282,70.15982057892978,66.18568040944287,66.13123096714939,0.0005522642316338267
15,0.6082691865808824,87.2845831392641,71.0172744721689,68.37637026991504,69.01491337864617,67.95849756224499,0.0004999999999999996
16,0.5862056507783777,86.72566371681415,71.78502879078695,71.31007921134213,70.75656510975605,69.67324599853453,0.00044773576836617266
17,0.5757589901194853,88.49557522123894,71.40115163147792,71.76098909438672,69.32748536746335,68.88153603986784,0.00039604415459111987
18,0.5683773265165442,88.58872845831392,70.8253358925144,70.51342974723309,69.09298289201253,68.66680415238778,0.0003454915028125261
19,0.5449685489430147,88.8216115510014,71.78502879078695,70.39547540878223,69.17932610238408,68.80044930429614,0.0002966316784620998
20,0.5575489717371324,88.16953889147648,71.78502879078695,70.8802188263673,69.58662556005743,69.78782902253228,0.0002500000000000002
21,0.5433708639705882,89.05449464368887,71.78502879078695,70.5037540887353,70.02760405292908,69.38880906203217,0.00020610737385376354
22,0.5368356143727022,89.14764788076386,72.36084452975048,72.0264815369127,71.0418594707936,70.54221348009668,0.00016543469682057092
23,0.5102530086741728,89.79972054028877,71.78502879078695,70.95102620299234,70.35498437366621,69.8601262880003,0.0001284275872613029
24,0.5301782944623161,88.68188169538892,71.0172744721689,69.81238024060195,69.55411562773668,68.80266662051486,9.549150281252634e-05
25,0.5243278952205882,89.5668374476013,71.59309021113243,70.35932487296219,69.81289989784071,69.27331254191051,6.698729810778072e-05
26,0.5240155388327206,89.28737773637634,71.40115163147792,70.3152578505876,69.89725288263864,69.4011026216565,4.32272711786995e-05
27,0.5111604578354779,90.17233348858873,71.40115163147792,70.1743752110964,69.77198055148396,69.2172114399053,2.447174185242324e-05
28,0.5113794663373161,90.07918025151373,71.40115163147792,70.15471723631512,69.77198055148396,69.18559027805752,1.092619963309721e-05
29,0.5251895680147058,89.93945039590126,71.20921305182341,69.9801105523605,69.67938795889137,69.03754974589988,2.7390523158632995e-06
30,0.5374181410845589,90.21891010712622,71.20921305182341,69.9801105523605,69.67938795889137,69.03754974589988,0.0
