Parameter,Accuracy,Precision,Recall,F1-Score,Epoch
RN101,72.36084452975048,72.0264815369127,71.0418594707936,70.54221348009668,22
RN50,70.8253358925144,71.21058350812096,68.22114158362044,68.0011982848494,21
ViT-B/32,72.16890595009598,71.17103998284733,70.90775071919937,69.94281887132585,13
