epoch,train_loss,train_acc,test_acc,test_precision,test_recall,test_f1,learning_rate
1,4.134765625,31.851851851851855,40.88291746641075,35.86906800664258,37.36450021803152,32.35895813653731,0.0009972609476841367
2,3.2335069444444446,55.18518518518518,47.408829174664106,51.241033271231004,47.055674414932085,42.97490809614271,0.0009890738003669026
3,2.623046875,71.48148148148148,49.32821497120921,51.87018197707298,49.7551573912855,47.82796759736602,0.0009755282581475765
4,2.3148871527777777,78.51851851851852,52.5911708253359,52.841633599422465,51.96706620760045,49.91804795275197,0.0009567727288213
5,2.0469835069444446,81.11111111111111,52.207293666026864,53.89686774258497,53.15152988539224,50.770460312708956,0.0009330127018922191
6,1.8284505208333333,83.7037037037037,55.66218809980806,54.16700990872529,55.51877345502386,53.12157439264714,0.0009045084971874734
7,1.6393229166666667,88.14814814814815,54.31861804222648,55.666450082519006,55.47232908420836,53.25740856346465,0.0008715724127386969
8,1.4884982638888888,91.48148148148148,55.66218809980806,54.61686428324729,56.34985421859516,53.71489525307626,0.0008345653031794289
9,1.3641493055555556,94.44444444444444,54.894433781190024,54.52969897265743,55.324873313895154,53.206837059041646,0.0007938926261462365
10,1.2484809027777777,93.33333333333333,54.12667946257198,54.69372305123434,54.7850076510653,52.703492849377774,0.0007499999999999997
11,1.1693793402777777,94.07407407407408,54.510556621881,54.02386068626964,54.462687382805505,52.545953896768594,0.0007033683215379
12,1.0903862847222223,96.66666666666667,55.27831094049904,55.566888629250414,55.66937544513726,53.8456233401684,0.0006545084971874737
13,1.0243055555555556,97.4074074074074,55.66218809980806,55.55393572812529,56.027695335502756,53.993355833020054,0.0006039558454088798
14,0.9365234375,97.77777777777777,56.4299424184261,56.60402524142223,56.25687939740543,55.11065652195993,0.0005522642316338267
15,0.9133572048611112,97.03703703703704,56.046065259117086,55.24050060020207,57.27943255937276,54.51848349932995,0.0005
16,0.8775499131944444,97.03703703703704,55.66218809980806,56.29240678490171,56.44341203724876,54.608881710549696,0.00044773576836617336
17,0.8136393229166666,98.14814814814815,54.894433781190024,55.98896925095668,55.64944128649961,53.79365366482666,0.0003960441545911203
18,0.7947048611111112,98.51851851851852,57.00575815738963,56.39789775195692,57.68977867340035,55.42627166977277,0.00034549150281252633
19,0.7554253472222222,97.4074074074074,57.38963531669866,56.19508129309276,57.64887111627106,55.46700602491057,0.00029663167846209987
20,0.7474500868055556,99.25925925925925,57.00575815738963,56.164828762017635,57.19898362615369,55.234663348475664,0.00025000000000000006
21,0.7377387152777778,98.88888888888889,56.813819577735124,55.92731777059181,57.053633021032965,55.01702098452408,0.00020610737385376337
22,0.7178819444444444,98.51851851851852,57.00575815738963,56.315139936570965,57.626491232780076,55.42309231171616,0.00016543469682057076
23,0.6781412760416666,98.51851851851852,56.813819577735124,55.82121790541124,57.53218012314329,55.13952999653397,0.00012842758726130287
24,0.7269965277777778,97.4074074074074,56.62188099808061,55.31965949363611,56.98382114566554,54.69041977468895,9.54915028125263e-05
25,0.7008463541666666,98.88888888888889,56.4299424184261,55.87598823795934,57.458475092541704,54.954747642621314,6.698729810778062e-05
26,0.6870659722222222,99.25925925925925,56.813819577735124,56.16320318891699,57.78254916661578,55.23297843434333,4.3227271178699604e-05
27,0.6803927951388888,98.51851851851852,56.813819577735124,56.16320318891699,57.78254916661578,55.23297843434333,2.4471741852423225e-05
28,0.6863064236111112,98.88888888888889,56.813819577735124,56.27971219431488,57.78254916661578,55.330625442559445,1.0926199633097149e-05
29,0.7061089409722222,98.51851851851852,56.813819577735124,56.27971219431488,57.78254916661578,55.330625442559445,2.7390523158633532e-06
30,0.6934678819444444,98.88888888888889,56.813819577735124,56.27971219431488,57.78254916661578,55.330625442559445,0.0
